job_name,job_desc,posting_date,location,company_name,job_type,job_application_link
Network Architect,"Job Summary

The L3 Network Services Engineer is responsible for the architecture, design, implementation, optimization, and advanced troubleshooting of Infoblox DDI (DNS, DHCP, and IP Address Management) and Infoblox NetMRI platforms.
This role acts as the final technical escalation point, owns network services automation, compliance, and visibility, and leads critical incident resolution and continuous improvement initiatives.
The L3 Network Security Engineer is responsible for dayâ€`toâ€`day operations, monitoring, configuration support, and troubleshooting of Palo Alto firewalls and routing & switching infrastructure. The role acts as an escalation point for L1, resolves most operational incidents independently, and escalates complex design or outage issues to L3.
The L3 Network & Load Balancer Engineer is responsible for dayâ€`toâ€`day operations, monitoring, configuration support, and troubleshooting of enterprise routing & switching infrastructure and F5 BIGâ€`IP load balancing solutions.
The L3 Network & SDâ€`WAN Engineer is responsible for dayâ€`toâ€`day operations, monitoring, and troubleshooting of Cisco SDâ€`WAN (Viptela) environments, enterprise routing & switching infrastructure, and network automation/assurance using Cisco Catalyst Center (DNAC).",17/04/2026,BENGALURU [India],Tech Mahindra,On-site,https://careers.techmahindra.com/JobDetails.aspx?JobCode=OAAAADcAAAA1AAAANgAAADMAAAA=-gmwKEyXrpD0=&&IndustryType=SQAAAFQAAAA=-cu6HGbNv01o=
Solution Engineer,"Job Summary

 
â€¢ Create solid models of detail/assembly/installation 3D and 2D for aircraft interior monuments using Catia V5/Enovia

Qualifications:
Typical profile: Mechanical/aerospace engineer with Bombardier experience preferably and aircraft interior design experience of 3+ years .
Â·         Knowledge of Aircraft Interior Design Methodology and manufacturing processes.
Â·         Knowledge of Aircraft interior cabinet engineering drawings
Â·         Knowledge of Aerospace Materials and standards.
Â·    )
Â·",05/05/2026,BENGALURU [India],Tech Mahindra,On-site,https://careers.techmahindra.com/JobDetails.aspx?JobCode=OAAAADcAAAA1AAAANgAAADAAAAA=-fs2DKDwd5R8=&&IndustryType=SQAAAFQAAAA=-cu6HGbNv01o=
Tech Lead,"Job Summary

Commerce Tool Developer:
 
5+ years of working in CommerceTool platform.
Â·       4 + years Software Engineering and a deep understanding of the eCommerce industry? (SSE/ PSE)
Â·       2 + years Software Engineering and a deep understanding of the eCommerce industry? (SE)
Â·       1 + Years of Experience with web service APIs working with either REST, GraphQL or both
Â·       Experience building with REST APIs, Microservices, preferably in a commerce industry
Â·       The ability to weigh trade offs through discussions working within a cross functional team
Â·       Experience is Headless and MACH Architecture framework preferred, not mandatory
Â·       Experienced in solution development, Assist in Solution Designing, project scoping and excellent product demonstration skills
Â·       Excellent communicator and presenter able to gain audience confidence
Â·       Hands on, high energy, passionate and creative problem solver with know how to get things done and ability to lead others to success
Â·       Ability to build a deep understanding of a customer's communications needs and guide them to a technical solution
Â·       Familiarity with cloud platforms (Azure, Google Cloud)
Â·       Understanding of Enterprise Product Catalogue is good to have
 
Â·       Suggestions: Some extra commerce Tool platform experience should be there 2+ on dev and some CT architecture understanding",16/04/2026,PUNE [India],Tech Mahindra,On-site,https://careers.techmahindra.com/JobDetails.aspx?JobCode=OAAAADcAAAA1AAAANQAAADUAAAA=-LR6zBB1e+QA=&&IndustryType=SQAAAFQAAAA=-cu6HGbNv01o=
Tech Lead,"Job Summary

ACC Mulesoft JD Mulesoft Dev Role
Job Description
Proven experience in analysis, design, development, and application deployment of large scale Java centric enterprise application systems
In depth hands on application development experience in Mulesoft ESB/API.
Should have experience in Mule version 3 onwards in Mulesoft ESB, MuleSoft Cloudhub/RTF.
Should have been part of at least one Mulesoft implementation from design to development or Migration from any other product to Mulesoft.
Expertise in Java integration frameworks Spring Integration and web services, REST APIs and Mulesoft API.
Experience with Mulesoft ESB administration (RTF and On Prem V3.x, v4.x)
Experience using Unix/Linux OS environments
Configure APIs, proxy endpoints, API portals and API analytics based on technical specifications with MuleSoft API manager.
Strong understanding and experience with security implementations (e.g. SSL/mutual SSL, SAML, oAuth).
Ability to interface with clients, technology partners, testing, architecture and analysis groups.
Deep experience with Anypoint Platform, Cloud Hub, Runtime Fabric, API Management
Develop CI/CD DevOps Automation pipelines with the Mulesoft platform for building Microservices.
Prepare documentation where necessary, including training, process flows, system structure, network deployment architecture etc.
Design system with the right mix of Monitoring, Alerting and Tracing
Experience in Monitoring, reporting and alerting tools
Ability to work and resolve issues independently.
Ability to work as an individual contributor
Good Communication Skills
Good to have Mule Certification in 3.X or 4
Experience working in a scrum team and in onsite/offshore model.
Should have experience in Database like Oracle/MySQL/DB2
Should have worked on tools like Jenkins, Maven, Munit and Postman
knowledge on the Salesforce, Kafka Integrations, Batch Job Implementation, RAML design and exceptional handling strategies",24/02/2026,HYDERABAD [India],Tech Mahindra,On-site,https://careers.techmahindra.com/JobDetails.aspx?JobCode=OAAAADcAAAA1AAAANQAAADAAAAA=-8vYO6QHExGI=&&IndustryType=SQAAAFQAAAA=-cu6HGbNv01o=
Salesforce CPQ Developer / Lead/ Architect,"Job Summary

Location- Chennai

Salesforce CPQ
1.Develop and implement complex product bundles, pricing rules, discount schedules and guided selling processes.
2.Build custom functionality using Apex, Triggers, and Lightning Web Components (LWC)
3.Streamline quoting, approval workflows, and contract management processes.
4.Integrate CPQ with ERP, billing systems, and CRM via REST/SOAP APIs and manage data migration
5.Testing & Support: Execute unit tests, UAT, and support debugging efforts.
6.Design and maintain complex product configurations, bundles, inclusion/constraint rules, and recommendation rules.
7.Set up price lists, price dimensions, price rulesets, pricing callback classes, and validation callback classes
8.Workflow & Approval: Develop complex Intelligent Workflow Approvals and Apttus Wizards to streamline sales operations.",23/04/2026,CHENNAI [India],Tech Mahindra,On-site,https://careers.techmahindra.com/JobDetails.aspx?JobCode=OAAAADcAAAA1AAAANAAAADMAAAA=-MypGCpYmiD0=&&IndustryType=SQAAAFQAAAA=-cu6HGbNv01o=
Salesforce Revenue Cloud Developer / Lead/ Architect,"Job Summary

Location - PAN India open 
 








Position 
Skills


1
Business Domain Experience - 10+ Years in Corporate Lending, Retail Lending, & Payments
			- 10+ Years of experience in Salesforce i.e. Sales and Service Coud
			- 5+ Years in Revenue Cloud
			- 2+ Years in Agenforce
			- 1+ Years of data migration
			- 2+ Years of integration using mulesoft


2
Business Domain Experience - 3+ Years in Corporate Lending, Retail Lending, or Payments
			- 6+ Years of salesforce
			- 3+ Years of Sales Cloud


3
Business Domain Experience - 3+ Years in Corporate Lending, Retail Lending, or Payments
			- 6+ Years of salesforce
			- 3+ Years of Service Cloud


4
Business Domain Experience - 5+ Years in Corporate Lending, Retail Lending, or Payments
			'- 3+ Years as Tech. Lead
			- 8+ Years of salesforce
			- 3+ Years of Data Migration


5
Business Domain Experience - 5+ Years in Corporate Lending, Retail Lending, or Payments
			'- 3+ Years as Tech. Lead
			- 8+ Years of salesforce
			- 3+ Years of Integration using Mulesoft


6
Business Domain Experience - 5+ Years in Corporate Lending, Retail Lending, or Payments
			'- 3+ Years as Tech. Lead
			- 8+ Years of salesforce
			- 3+ Years of Revenue Cloud


7
Business Domain Experience - 5+ Years in Corporate Lending, Retail Lending, or Payments
			'- 3+ Years as Tech. Lead
			- 8+ Years of salesforce
			- 4+ Years of Sales Cloud


8
Business Domain Experience - 5+ Years in Corporate Lending, Retail Lending, or Payments
			'- 3+ Years as Tech. Lead
			- 8+ Years of salesforce
			- 4+ Years of Service Cloud


9
Business Domain Experience - 3+ Years in Corporate Lending, Retail Lending, or Payments
			- 6+ Years of salesforce
			- 3+ Years of Revenue Cloud


10
Business Domain Experience - 3+ Years in Corporate Lending, Retail Lending, or Payments
			- 6+ Years of salesforce
			- 3+ Years of data migration


11
Business Domain Experience - 3+ Years in Corporate Lending, Retail Lending, or Payments
			- 6+ Years of salesforce+Mulesoft
			- 3+ Years of Integrating Salesforce using Mulesoft",13/03/2026,HYDERABAD [India],Tech Mahindra,On-site,https://careers.techmahindra.com/JobDetails.aspx?JobCode=OAAAADcAAAA1AAAAMwAAADkAAAA=-fNapjSkhphY=&&IndustryType=SQAAAFQAAAA=-cu6HGbNv01o=
Financial Services Cloud (FSC) Developer / Tech Lead / Architect,"Job Summary





Job Title: Salesforce Financial Services Cloud Developer / Lead / Architect
Location: Bangalore, India
Experience Required: 5–15 Years
Certifications: Salesforce Certified (Financial Services Cloud, Service Cloud, or equivalent)
Summary
We’re seeking a highly experienced and certified Salesforce SME with deep expertise in Financial Services Cloud (FSC) and Contact Center solutions. This role is pivotal in bridging business needs with technical execution, driving digital transformation across financial services operations and customer engagement platforms. You’ll lead solution design, stakeholder collaboration, and platform optimization for high-impact service delivery.
Key Responsibilities
•Act as an interface between business units and technical teams to align Salesforce related requirements and configuration
•Support implementation and optimization of Salesforce FSC and Service Cloud for contact center operations.
•Design scalable solutions for customer onboarding, relationship management, and service automation.
•Integrate Salesforce with core systems, data platforms, third-party apps, and telephony platforms (e.g., CTI, IVR).
•Develop and manage customer journeys, case workflows, and omni-channel service strategies.
•Ensure compliance with financial regulations and data privacy standards.
•Conduct stakeholder workshops, training sessions, and platform demos to drive adoption.
•Stay current with Salesforce releases, especially FSC, Service Cloud, and AI-driven service enhancements.
Skills & Qualifications
•5–8 years of hands-on experience in Salesforce, with strong exposure to Financial Services Cloud and Data Cloud.
•Salesforce certifications such as Financial Services Cloud Consultant, Service Cloud Consultant, or Application Architect.
•Proven ability to translate financial business processes into technical solutions.
•Experience with contact center technologies, including CTI integration, case routing, and service analytics.
•Strong understanding of financial products, customer lifecycle management, and regulatory compliance.
•Proficiency in Apex, Flow, Lightning Components, and data modeling.
•Excellent communication, stakeholder engagement, and problem-solving skills.
•Knowledge of Genesys Cloud is an added advantage.",06/04/2026,HYDERABAD [India],Tech Mahindra,On-site,https://careers.techmahindra.com/JobDetails.aspx?JobCode=OAAAADcAAAA1AAAAMwAAADUAAAA=-M/RZbFYRvyk=&&IndustryType=SQAAAFQAAAA=-cu6HGbNv01o=
Sr. Software Engineer,"Job Summary

Job Title: Frontend Developer (Angular)
Primary Skill: Angular
Secondary Skill: Java
Additional Tools: GitHub Copilot, Cursor AI
Job Summary
We are looking for a skilled Frontend Developer with strong expertise in Angular as a primary skill and Java as a secondary skill. The ideal candidate should have hands on experience using AI assisted development tools such as GitHub Copilot and Cursor AI to improve development productivity, code quality, and delivery speed",29/04/2026,HYDERABAD [India],Tech Mahindra,On-site,https://careers.techmahindra.com/JobDetails.aspx?JobCode=OAAAADcAAAA1AAAAMwAAADAAAAA=-0K9AzmvtSpo=&&IndustryType=SQAAAFQAAAA=-cu6HGbNv01o=
Tech Lead,"Job Summary

Job Title: Senior Project Manager Manufacturing Execution Systems (MES)
Location: TechM, Pune Sharda
Years of Experience: 10 15 Years
Job Summary:
We are seeking a highly skilled and experienced Senior Project Manager with a strong background in Manufacturing Execution Systems (MES), specifically Drona MES and FTPC MES. The ideal candidate will have a proven track record of managing complex projects within the manufacturing sector, ensuring the successful implementation and optimization of MES solutions. This role requires a strategic thinker with excellent leadership skills and the ability to collaborate effectively with cross functional teams.
Responsibilities:

Lead and manage MES projects from initiation to completion, ensuring alignment with business objectives and timelines.
Collaborate with stakeholders to define project scope, goals, and deliverables that support business objectives.
Develop detailed project plans, including resource allocation, timelines, and risk management strategies.
Oversee the implementation of Drona MES and FTPC MES, ensuring adherence to best practices and industry standards.
Monitor project progress and performance, making adjustments as necessary to ensure successful outcomes.
Facilitate communication between project teams, stakeholders, and senior management to ensure transparency and alignment.
Conduct regular project reviews and provide status updates to stakeholders.
Identify and mitigate project risks, ensuring proactive problem solving and decision making.
Mentor and guide junior project managers and team members, fostering a culture of continuous improvement.

Mandatory Skills:

Strong expertise in Manufacturing Execution Systems (MES), specifically Drona MES and FTPC MES.
Proven experience in project management methodologies and tools.
Excellent leadership and team management skills.
Strong analytical and problem solving abilities.
Exceptional communication and interpersonal skills.
Ability to work in a fast paced environment and manage multiple projects simultaneously.

Preferred Skills:

Experience with Lean Manufacturing and Six Sigma methodologies.
Familiarity with ERP systems and their integration with MES.
Knowledge of industry regulations and compliance standards.
Project Management Professional (PMP) certification or equivalent.

Qualifications:

Bachelor's degree in Engineering, Computer Science, or a related field; Master's degree preferred.
10 15 years of experience in project management within the manufacturing sector.
Demonstrated success in managing MES projects and delivering results.

If you are a results driven professional with a passion for manufacturing execution systems and a desire to lead impactful projects, we encourage you to apply for this exciting opportunity.",04/05/2026,PUNE [India],Tech Mahindra,On-site,https://careers.techmahindra.com/JobDetails.aspx?JobCode=OAAAADcAAAA1AAAAMgAAADYAAAA=-MStKvpgOiBs=&&IndustryType=SQAAAFQAAAA=-cu6HGbNv01o=
Sr. Data Analyst,"Job Summary

Job Title: Software Developer
Location: TechM Pune Hinjewadi Plot 1
Job Summary:
Experience: 6â€¿10 Years (Relevant BMC/Remedy Experience)

Job Summary
We are seeking an experienced Senior BMC Developer with strong expertise in BMC Remedy AR System customization and hands on experience across ITSM modules, CMDB, and Digital Workplace platforms. The candidate will be responsible for designing, developing, and supporting scalable BMC solutions aligned with IT service management best practices.
Key Responsibilities
Design, develop, and customize BMC Remedy AR System applications to meet business and ITSM requirements.
Configure and support BMC ITSM modules including Incident, Problem, Change, Asset, and Service Request Management.
Implement and maintain CMDB configurations, reconciliation, normalization, and data quality rules.
Develop and customize BMC Digital Workplace (DWP) and DWP Advanced services, workflows, and user experiences.
Work on forms, workflows, active links, filters, escalations, menus, and views within Remedy AR System.
Perform integrations with third party systems using REST APIs, web services, and Atrium Integrator.
Support enhancements, upgrades, and performance tuning of the BMC Innovation Suite platform.
Collaborate with stakeholders to analyze requirements, provide technical solutions, and ensure delivery quality.
Provide production support, root cause analysis, and defect resolution as required.
Ensure compliance with ITIL best practices and organizational governance standards.
Mandatory Skills & Experience
Strong experience in BMC Remedy AR System customization (mandatory).
Hands on experience with BMC ITSM Suite.
Solid experience in CMDB configuration and data management.
Experience with BMC Digital Workplace (DWP) and DWP Advanced.
Good understanding of ITIL processes.
Experience working on BMC Innovation Suite.
Strong troubleshooting and analytical skills.
Good to Have / Add On Skills
Experience with Progressive Web Applications (PWA) in BMC context.
Advanced knowledge of BMC Innovation Studio.
Exposure to BMC Helix platform and cloud deployments.
Experience in large enterprise or telecom environments.
Soft Skills
Strong communication and stakeholder management skills.
Ability to work independently and lead technical initiatives.
Good documentation and knowledge transfer skills.
Ability to work in a fast paced, multi stakeholder environment.
 
If you are a motivated software developer with a passion for IT service management and possess the required skills, we encourage you to apply and join our innovative team at TechM.",24/04/2026,PUNE [India],Tech Mahindra,On-site,https://careers.techmahindra.com/JobDetails.aspx?JobCode=OAAAADcAAAA1AAAAMgAAADIAAAA=-U17J5N/7mYo=&&IndustryType=SQAAAFQAAAA=-cu6HGbNv01o=
